Wall time,Step,Value
1697721395.920225,8192,2294.0
1697721397.856944,12288,2231.0
1697721398.816776,14336,2217.0
1697721403.051211,22528,2105.0
1697721404.084316,24576,2094.0
1697721406.19721,28672,2070.0
1697721407.222564,30720,2065.0
1697721408.240988,32768,2062.0
1697721409.283967,34816,2056.0
1697721410.403585,36864,2042.0
1697721411.418769,38912,2040.0
1697721412.509873,40960,2031.0
1697721413.556641,43008,2028.0
1697721417.814092,51200,2010.0
1697721418.7758741,53248,2015.0
1697721427.402926,69632,1986.0
1697721428.4210482,71680,1987.0
1697721430.567551,75776,1982.0
1697721433.696492,81920,1981.0
1697721434.781045,83968,1978.0
1697721436.982079,88064,1973.0
1697721438.062853,90112,1971.0
1697721439.1497111,92160,1969.0
1697721440.216712,94208,1968.0
1697721442.2749052,98304,1969.0
1697721444.492857,102400,1963.0
1697721445.504529,104448,1965.0
1697721448.725621,110592,1961.0
1697721449.807072,112640,1960.0
1697721450.905059,114688,1958.0
1697721451.927517,116736,1959.0
1697721452.996863,118784,1958.0
1697721456.2153559,124928,1956.0
1697721457.292245,126976,1955.0
1697721459.3607411,131072,1956.0
1697721461.40801,135168,1957.0
1697721462.488534,137216,1956.0
1697721463.5115929,139264,1957.0
1697721464.5559208,141312,1957.0
1697721467.627344,147456,1958.0
1697721468.629318,149504,1959.0
1697721469.715019,151552,1958.0
1697721470.782037,153600,1958.0
1697721472.79281,157696,1960.0
1697721474.7502909,161792,1963.0
1697721475.7676108,163840,1964.0
1697721480.8901708,174080,1966.0
1697721481.891098,176128,1967.0
1697721482.947937,178176,1966.0
1697721484.0347252,180224,1965.0
1697721485.02691,182272,1966.0
1697721486.0579042,184320,1966.0
1697721491.43769,194560,1963.0
1697721500.004761,210944,2052.0
1697721502.15254,215040,2009.0
1697721503.229975,217088,1994.0
1697721504.294488,219136,1986.0
1697721511.6742148,233472,1967.0
1697721514.816868,239616,1965.0
1697721516.902268,243712,1965.0
1697721517.958242,245760,1963.0
1697721519.000729,247808,1963.0
1697721523.322162,256000,1953.0
1697721524.341613,258048,1955.0
1697721525.4098701,260096,1954.0
1697721528.6055229,266240,1951.0
1697721529.667231,268288,1950.0
1697721532.940504,274432,1944.0
1697721537.141098,282624,1944.0
1697721539.262743,286720,1944.0
1697721541.352833,290816,1944.0
1697721542.4524539,292864,1942.0
1697721543.4904928,294912,1943.0
1697721544.559422,296960,1942.0
1697721545.598627,299008,1943.0
1697721546.645602,301056,1943.0
1697721548.6217868,305152,1948.0
1697721550.7372532,309248,1948.0
1697721553.9129212,315392,1947.0
1697721554.963165,317440,1947.0
1697721556.018264,319488,1947.0
1697721558.188777,323584,1945.0
1697721559.246517,325632,1945.0
1697721560.29854,327680,1945.0
1697721562.4504719,331776,1943.0
1697721563.51551,333824,1943.0
1697721565.608424,337920,1943.0
1697721566.6852858,339968,1943.0
1697721568.778759,344064,1943.0
1697721569.844764,346112,1943.0
1697721572.958039,352256,1944.0
1697721577.157928,360448,1944.0
1697721578.224766,362496,1944.0
1697721579.283416,364544,1944.0
1697721580.2738318,366592,1945.0
1697721582.2807791,370688,1947.0
1697721583.321235,372736,1948.0
1697721585.407553,376832,1948.0
1697721587.492173,380928,1948.0
1697721588.543204,382976,1948.0
1697721589.5823529,385024,1949.0
1697721590.663541,387072,1948.0
1697721592.6990201,391168,1949.0
1697721593.715605,393216,1950.0
1697721600.9652202,407552,2240.0
1697721605.061362,415744,2096.0
1697721609.2241468,423936,2047.0
1697721610.2862039,425984,2037.0
1697721611.381881,428032,2023.0
1697721615.559198,436224,2008.0
1697721616.60609,438272,2005.0
1697721617.676021,440320,2000.0
1697721618.7372968,442368,1996.0
1697721621.974973,448512,1983.0
1697721623.051469,450560,1979.0
1697721626.324816,456704,1967.0
1697721627.306804,458752,1971.0
1697721629.376255,462848,1972.0
1697721630.419908,464896,1971.0
1697721631.482435,466944,1970.0
1697721633.502039,471040,1973.0
1697721634.548043,473088,1973.0
1697721635.5804071,475136,1973.0
1697721636.656478,477184,1971.0
1697721637.643023,479232,1974.0
1697721638.697731,481280,1973.0
1697721641.8712919,487424,1970.0
1697721642.927535,489472,1969.0
1697721644.951782,493568,1972.0
1697721649.073218,501760,1973.0
1697721650.1656609,503808,1971.0
1697721652.255939,507904,1970.0
1697721654.435307,512000,1967.0
1697721655.45712,514048,1968.0
1697721660.725358,524288,1965.0
