Wall time,Step,Value
1697721396.90032,10240,-1.591936707496643
1697721398.816803,14336,-1.5767370462417603
1697721399.9108999,16384,-1.5641388893127441
1697721404.084343,24576,-1.5363147258758545
1697721405.145569,26624,-1.5091768503189087
1697721407.22259,30720,-1.4732011556625366
1697721408.241014,32768,-1.5196901559829712
1697721409.283993,34816,-1.4896436929702759
1697721410.403612,36864,-1.461768388748169
1697721411.418796,38912,-1.5048877000808716
1697721412.509899,40960,-1.4410897493362427
1697721413.5566669,43008,-1.4892301559448242
1697721414.592326,45056,-1.455033540725708
1697721418.7759008,53248,-1.4288065433502197
1697721419.817287,55296,-1.2014164924621582
1697721428.4210749,71680,-1.322893500328064
1697721429.493332,73728,-1.3498508930206299
1697721431.632341,77824,-1.3062304258346558
1697721434.78107,83968,-1.0956501960754395
1697721435.869665,86016,-1.3395856618881226
1697721438.06288,90112,-1.1565150022506714
1697721439.149737,92160,-1.2115802764892578
1697721440.216738,94208,-1.2806437015533447
1697721441.237907,96256,-1.1492834091186523
1697721443.3889549,100352,-1.1963040828704834
1697721445.504556,104448,-1.1949853897094727
1697721446.6354518,106496,-0.9582445621490479
1697721449.8070982,112640,-1.3677937984466553
1697721450.905086,114688,-1.1546040773391724
1697721451.927542,116736,-1.245439052581787
1697721452.99689,118784,-1.0763520002365112
1697721454.080918,120832,-1.2129924297332764
1697721457.2922711,126976,-1.0880074501037598
1697721458.368793,129024,-1.4061484336853027
1697721460.4524748,133120,-1.01163649559021
1697721462.4885602,137216,-0.7012358903884888
1697721463.5116212,139264,-1.0516531467437744
1697721464.555948,141312,-0.8834930658340454
1697721465.588521,143360,-0.8276852965354919
1697721468.629345,149504,-1.0694020986557007
1697721469.715044,151552,-0.7398271560668945
1697721470.782063,153600,-1.1580501794815063
1697721471.818492,155648,-1.1557395458221436
1697721473.747754,159744,-0.8092379570007324
1697721475.767637,163840,-1.1139588356018066
1697721476.805699,165888,-1.1369521617889404
1697721481.891124,176128,-1.139992594718933
1697721482.947975,178176,-0.8375505208969116
1697721484.03475,180224,-1.137734055519104
1697721485.026935,182272,-1.2774720191955566
1697721486.057929,184320,-1.0652116537094116
1697721487.136699,186368,-0.8651409149169922
1697721492.446207,196608,-1.0943834781646729
1697721502.152564,215040,-1.2439829111099243
1697721504.294513,219136,-1.0923503637313843
1697721505.3539531,221184,-1.241014003753662
1697721506.382932,223232,-1.2080415487289429
1697721513.798953,237568,-1.0490901470184326
1697721516.902294,243712,-1.2842323780059814
1697721519.0007539,247808,-1.1457191705703735
