Wall time,Step,Value
1697725940.406185,6814,1718.9451904296875
1697726005.524866,16549,1270.2098388671875
1697726021.7167418,19014,1232.1650390625
1697726056.4984362,24261,1269.958740234375
1697726171.413939,41660,1441.89404296875
1697726186.816087,44008,1432.7183837890625
1697726200.9847229,46159,1335.95458984375
1697726206.6774259,47032,1332.2901611328125
1697726217.144931,48639,1310.531005859375
1697726261.619049,55424,1379.585693359375
1697726268.066046,56400,1350.1324462890625
1697726278.163624,57942,1206.8331298828125
1697726341.0473962,67067,1021.6224365234375
1697726379.096274,72664,1178.1004638671875
1697726385.0929961,73520,1196.859130859375
1697726392.108512,74518,1251.1192626953125
1697726401.979455,75908,1312.2784423828125
1697726438.8097348,81235,1282.4569091796875
1697726487.59498,88362,1278.005126953125
1697726532.27141,94841,1248.9774169921875
1697726588.329164,103108,1129.2952880859375
1697726612.245194,106779,1122.818115234375
1697726615.937609,107339,1117.1544189453125
1697726662.24976,114423,1256.64501953125
1697726698.571785,119974,1362.8377685546875
1697726753.304461,128348,1516.8292236328125
1697726771.168772,131087,1572.426513671875
1697726775.075136,131690,1534.6378173828125
1697726835.519936,140887,1343.2603759765625
1697726848.326161,142845,1289.088134765625
1697726854.1625652,143740,1349.22119140625
1697726914.756128,152941,1317.5159912109375
1697726946.364439,157774,1313.9759521484375
1697726964.4560268,160511,1315.729248046875
1697727020.0462132,168968,1254.7559814453125
1697727023.598411,169512,1137.33984375
1697727042.4601212,172390,1172.966064453125
1697727081.088713,178257,1242.7109375
1697727086.295636,179043,1162.55224609375
1697727112.294382,182991,1179.2081298828125
1697727125.689554,185046,1299.9107666015625
1697727133.1142778,186171,1338.400146484375
1697727161.940923,190563,1391.9466552734375
1697727169.029415,191638,1420.5660400390625
1697727210.3108459,197900,1339.2379150390625
1697727264.748956,206139,1517.805419921875
1697727271.8599548,207212,1521.8897705078125
1697727280.933005,208580,1494.40234375
1697727306.37522,212441,1396.3660888671875
1697727377.109067,223179,1337.822265625
1697727422.5365021,230084,1299.3790283203125
1697727449.885331,234252,1339.18994140625
1697727465.601547,236660,1284.081298828125
1697727562.297048,251383,1828.6627197265625
1697727603.492791,257626,1717.749755859375
1697727637.435284,262783,1836.5382080078125
1697727655.9581382,265623,1825.5682373046875
1697727677.940181,268961,1699.232421875
1697727704.537997,273001,1429.5982666015625
1697727716.295003,274787,1258.8140869140625
1697727834.929806,292801,1455.5753173828125
1697727859.5939782,296551,1619.163818359375
1697727865.878976,297505,1557.834228515625
1697727901.6690629,302945,1721.8282470703125
1697727924.5661929,306448,1705.62353515625
1697727931.0562549,307432,1635.9444580078125
1697727946.222058,309739,1705.51513671875
1697728007.398782,319062,1885.9154052734375
1697728016.561562,320445,1829.64599609375
1697728051.91976,325833,1796.1639404296875
1697728058.1561449,326772,1793.6114501953125
1697728064.64196,327761,1709.6060791015625
1697728087.240253,331195,1723.748291015625
1697728144.507184,339915,1745.7510986328125
1697728201.597333,348561,1730.236328125
1697728309.723139,364916,1503.75341796875
1697728337.953553,369197,1362.8194580078125
1697728375.767232,374937,1468.42822265625
1697728409.5841448,380083,1721.2841796875
1697728418.755359,381473,1575.925537109375
1697728497.185668,393311,1579.0501708984375
1697728502.948647,394186,1540.04052734375
1697728620.016939,411927,1292.150146484375
1697728707.83318,425217,1393.3359375
1697728713.291884,426044,1365.7896728515625
1697728721.424065,427278,1416.8134765625
1697728762.797336,433544,1639.839111328125
1697728825.731889,443073,1716.90771484375
