Wall time,Step,Value
1697725940.406194,6814,146.0
1697726005.524875,16549,148.0
1697726021.7167518,19014,148.0
1697726056.498445,24261,149.0
1697726171.4139478,41660,150.0
1697726186.8161018,44008,150.0
1697726200.984732,46159,150.0
1697726206.6774359,47032,150.0
1697726217.1449401,48639,150.0
1697726261.619058,55424,150.0
1697726268.066056,56400,150.0
1697726278.1636338,57942,150.0
1697726341.0474062,67067,150.0
1697726379.096284,72664,149.0
1697726385.0930061,73520,149.0
1697726392.108522,74518,149.0
1697726401.979468,75908,149.0
1697726438.809744,81235,149.0
1697726487.5949912,88362,148.0
1697726532.27142,94841,148.0
1697726588.329174,103108,148.0
1697726612.245203,106779,148.0
1697726615.937619,107339,148.0
1697726662.249769,114423,148.0
1697726698.571799,119974,149.0
1697726753.30447,128348,149.0
1697726771.16878,131087,149.0
1697726775.075144,131690,149.0
1697726835.519949,140887,149.0
1697726848.3261728,142845,149.0
1697726854.162574,143740,149.0
1697726914.756136,152941,149.0
1697726946.3644469,157774,149.0
1697726964.456036,160511,149.0
1697727020.046221,168968,150.0
1697727023.59842,169512,150.0
1697727042.4601312,172390,150.0
1697727081.088722,178257,150.0
1697727086.295647,179043,150.0
1697727112.29439,182991,150.0
1697727125.6895628,185046,150.0
1697727133.1142871,186171,150.0
1697727161.940934,190563,150.0
1697727169.029425,191638,150.0
1697727210.310855,197900,150.0
1697727264.748965,206139,150.0
1697727271.859964,207212,150.0
1697727280.933013,208580,150.0
1697727306.375228,212441,150.0
1697727377.109076,223179,150.0
1697727422.53651,230084,150.0
1697727449.88534,234252,150.0
1697727465.601556,236660,150.0
1697727562.297057,251383,150.0
1697727603.492799,257626,150.0
1697727637.435293,262783,150.0
1697727655.958147,265623,150.0
1697727677.9401898,268961,150.0
1697727704.538008,273001,150.0
1697727716.295011,274787,150.0
1697727834.929815,292801,150.0
1697727859.593987,296551,150.0
1697727865.878985,297505,150.0
1697727901.669072,302945,150.0
1697727924.5662022,306448,150.0
1697727931.056264,307432,150.0
1697727946.2220669,309739,150.0
1697728007.398792,319062,150.0
1697728016.56157,320445,150.0
1697728051.919769,325833,150.0
1697728058.1561532,326772,150.0
1697728064.641969,327761,151.0
1697728087.2402618,331195,151.0
1697728144.5071921,339915,151.0
1697728201.597342,348561,151.0
1697728309.723148,364916,151.0
1697728337.953562,369197,151.0
1697728375.767244,374937,151.0
1697728409.5841558,380083,151.0
1697728418.755371,381473,151.0
1697728497.1856792,393311,151.0
1697728502.948656,394186,151.0
1697728620.016947,411927,151.0
1697728707.833188,425217,151.0
1697728713.291892,426044,151.0
1697728721.424074,427278,151.0
1697728762.797346,433544,151.0
1697728825.731898,443073,151.0
1697728836.4688509,444697,151.0
1697728846.8036852,446268,151.0
1697728864.14027,448891,151.0
1697728898.275032,454079,151.0
1697728957.482651,463031,151.0
1697728977.92946,466135,151.0
1697728985.007432,467206,151.0
1697729041.808522,475807,151.0
1697729047.530394,476677,151.0
1697729149.787499,492172,151.0
1697729168.7103071,495065,151.0
1697729182.7089121,497215,151.0
1697729274.9428852,511250,151.0
1697729310.929112,516731,151.0
1697729323.8841112,518716,151.0
1697729340.479406,521232,151.0
1697729402.362991,530658,151.0
1697729444.106188,536999,151.0
1697729458.400949,539155,151.0
1697729482.777919,542830,151.0
1697729527.386317,549558,151.0
1697729550.434143,553062,151.0
1697729620.319173,563552,151.0
1697729635.549186,565856,151.0
1697729660.275944,569601,151.0
1697729696.3024,575030,151.0
1697729719.626358,578556,151.0
1697729728.7187772,579934,151.0
1697729765.348961,585481,151.0
1697729776.8747761,587230,151.0
1697729781.349922,587915,151.0
1697729793.506003,589738,151.0
1697729805.730981,591576,151.0
1697729813.382581,592734,151.0
1697729857.6295109,599384,151.0
1697729866.082999,600658,151.0
1697729920.311359,608774,151.0
1697729957.3936992,614374,151.0
1697729970.5477362,616367,151.0
1697730002.984876,621260,151.0
1697730041.298481,627073,151.0
1697730058.001245,629586,151.0
1697730131.280174,640688,151.0
1697730169.5612679,646477,151.0
1697730173.9660559,647139,151.0
1697730187.609217,649205,151.0
1697730191.940345,649853,151.0
1697730196.95864,650614,151.0
1697730203.5250628,651597,151.0
1697730215.043948,653343,151.0
1697730232.30657,655947,151.0
1697730264.8047109,660846,151.0
1697730295.087314,665420,151.0
1697730312.667667,668064,151.0
1697730339.2279801,672070,151.0
1697730358.2136152,674944,151.0
1697730365.046536,675979,151.0
1697730378.364083,677984,151.0
1697730388.485048,679512,151.0
1697730405.735163,682132,151.0
1697730409.873877,682758,151.0
1697730426.038753,685208,151.0
1697730432.2528472,686162,151.0
1697730468.53456,691663,151.0
1697730473.4125419,692405,151.0
1697730516.4811761,698956,151.0
1697730533.260631,701522,151.0
1697730554.013292,704672,151.0
1697730572.8092108,707538,151.0
1697730590.4145439,710196,151.0
1697730604.580796,712336,151.0
1697730629.58097,716129,151.0
1697730656.044682,720155,151.0
1697730679.4773812,723729,151.0
1697730687.192571,724905,151.0
1697730694.373893,726004,151.0
1697730743.730324,733462,151.0
1697730787.634388,740095,151.0
1697730802.862129,742395,151.0
1697730807.700654,743127,151.0
