Wall time,Step,Value
1697725940.406202,6814,-16.446359634399414
1697726005.524884,16549,-272.26220703125
1697726021.716759,19014,-334.1370849609375
1697726056.498455,24261,-401.50543212890625
1697726171.413955,41660,-502.2293701171875
1697726186.816109,44008,-503.0406799316406
1697726200.984739,46159,-506.0811462402344
1697726206.677443,47032,-447.9425354003906
1697726217.144948,48639,-487.56060791015625
1697726261.619065,55424,-411.9102783203125
1697726268.0660632,56400,-466.3675231933594
1697726278.163641,57942,-469.11212158203125
1697726341.047413,67067,-435.2929992675781
1697726379.09629,72664,-385.44873046875
1697726385.093013,73520,-393.11163330078125
1697726392.1085289,74518,-420.2378845214844
1697726401.979475,75908,-382.01812744140625
1697726438.809752,81235,-419.5364074707031
1697726487.5949981,88362,-334.9743957519531
1697726532.2714272,94841,-373.29364013671875
1697726588.329181,103108,-392.2191467285156
1697726612.2452102,106779,-326.91107177734375
1697726615.9376261,107339,-355.15509033203125
1697726662.2497761,114423,-356.347900390625
1697726698.57181,119974,-396.9326477050781
1697726753.304477,128348,-398.5061950683594
1697726771.16879,131087,-400.13909912109375
1697726775.0751512,131690,-397.32965087890625
1697726835.5199559,140887,-388.13818359375
1697726848.32618,142845,-353.0083312988281
1697726854.162581,143740,-399.97662353515625
1697726914.756144,152941,-397.0997009277344
1697726946.3644538,157774,-428.1276550292969
1697726964.456044,160511,-401.64630126953125
1697727020.046228,168968,-446.12347412109375
1697727023.5984268,169512,-397.2150573730469
1697727042.460138,172390,-365.1768493652344
1697727081.0887291,178257,-471.89752197265625
1697727086.295655,179043,-430.4723815917969
1697727112.294398,182991,-439.3035888671875
1697727125.689569,185046,-399.5941467285156
1697727133.114293,186171,-420.9598388671875
1697727161.940941,190563,-397.2958679199219
1697727169.029432,191638,-418.6832580566406
1697727210.310862,197900,-430.05340576171875
1697727264.748971,206139,-462.1535949707031
1697727271.859971,207212,-382.0127258300781
1697727280.9330199,208580,-483.1531982421875
1697727306.375235,212441,-462.47894287109375
1697727377.1090822,223179,-453.76898193359375
1697727422.5365171,230084,-438.8801574707031
1697727449.8853471,234252,-463.5611572265625
1697727465.601563,236660,-425.04962158203125
1697727562.2970629,251383,-405.2529296875
1697727603.492806,257626,-423.3093566894531
1697727637.4352992,262783,-464.20257568359375
1697727655.958154,265623,-454.45452880859375
1697727677.9401972,268961,-429.528076171875
1697727704.538016,273001,-431.81451416015625
